name,infolink
Aachener Str.Gürtel,178
Ackerstr.,932
Adolf-Menzel-Str.,119
Adrian-Meller-Str.,232
Aeltgen-Dünwald-Str.,630
Akazienweg,264
Albin-Köbis-Str.,453
Alfred-Schütte-Allee,441
Alfter  Alanus Hochschule,681
Alte Forststr.,560
Alte Römerstr.,424
Alte Str.,982
Alter Deutzer Postweg,263
Alter Flughafen Butzweilerhof,274
Alter Militärring,186
Altonaer Platz,363
Alzeyer Str.,331
Am Alten Güterbahnhof,643
Am Bilderstöckchen,332
Am Braunsacker,775
Am Coloneum,899
Am Eifeltor,930
Am Emberg,607
Am Faulbach,636
Am Feldrain,649
Am Flachsrosterweg,942
Am Grauen Stein,527
Am Hetzepetsch,387
Am Hochkreuz,898
Am Kreuzweg,7206
Am Kölnberg,85
Am Leinacker,877
Am Lindenweg,191
Am Neuen Forst,123
Am Nordpark,841
Am Portzenacker,619
Am Schildchen,787
Am Serviesberg,852
Am Springborn,611
Am Steinneuerhof,101
Am Vorgebirgstor,874
Am Weißen Mönch,627
Am Zehnthof,705
Amsterdamer Str.Gürtel,317
An den Kaulen,431
An der Ronne,216
An St. Marien,487
Anemonenweg,603
Antoniusstr.,474
Appellhofplatz,7
Arenzhof,810
Arnoldshöhe,84
Arnulfstr.,151
Arthur-Hantzsch-Str.,812
Auenweg,959
Auf dem Berlich,971
Auf dem Streitacker,832
Auf den Steinen,963
Auf der Aue,624
Auf der Freiheit,754
August-Horch-Str.,788
Auguste-Kowalski-Str.,566
Autobahn (Stadtbahn),534
Auweiler,374
Auweilerweg,297
Bachemer Str.,866
Bachstelzenweg,287
Bad Godesberg Bf,161
Bad Godesberg Stadthalle,371
Badorf,737
Bahnstr.,830
Baldurstr.,561
Baptiststr.,422
Barbarastr.,646
Barbarossaplatz,23
Baumschulenweg,439
Bayenthalgürtel,76
Beethovenstr.,206
Belvederestr.,910
Benfleetstr.,967
Bensberg,665
Bergstr.,310
Bernkasteler Str.,63
Berrenrather Str.Gürtel,162
Bertha-Benz-Karree,939
Betzdorfer Str.,48
Beuelsweg,827
Beuelsweg Nord,784
Beuthener Str.,582
Bevingsweg,542
